"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Dec-2014","     8605.10","     8623.00","     8545.15","     8555.90","      151990638","         8565.14"
"02-Dec-2014","     8535.45","     8560.20","     8504.65","     8524.70","      137386984","         6753.13"
"03-Dec-2014","     8528.70","     8546.95","     8508.35","     8537.65","      153199341","         7664.86"
"04-Dec-2014","     8582.40","     8626.95","     8526.40","     8564.40","      143477230","         6687.99"
"05-Dec-2014","     8584.25","     8588.35","     8523.90","     8538.30","      143345553","         6452.40"
"08-Dec-2014","     8538.65","     8546.35","     8432.25","     8438.25","      163819529","        13929.39"
"09-Dec-2014","     8439.30","     8444.50","     8330.50","     8340.70","      146266705","         7115.31"
"10-Dec-2014","     8318.05","     8376.80","     8317.00","     8355.65","      136656345","         6738.18"
"11-Dec-2014","     8338.85","     8348.30","     8272.40","     8292.90","      133862999","         6718.85"
"12-Dec-2014","     8302.00","     8321.90","     8216.30","     8224.10","      138080911","         6894.03"
"15-Dec-2014","     8160.75","     8242.40","     8152.50","     8219.60","      137140608","         6720.94"
"16-Dec-2014","     8172.60","     8189.35","     8052.60","     8067.60","      197337631","         8920.29"
"17-Dec-2014","     8041.20","     8082.00","     7961.35","     8029.80","      216216145","         9966.02"
"18-Dec-2014","     8138.90","     8174.30","     8084.90","     8159.30","      162112021","         7352.60"
"19-Dec-2014","     8230.45","     8263.45","     8208.60","     8225.20","      174796496","         8246.76"
"22-Dec-2014","     8255.00","     8330.95","     8228.20","     8324.00","      139159658","         5745.04"
"23-Dec-2014","     8324.60","     8364.75","     8252.85","     8267.00","      132190368","         5629.52"
"24-Dec-2014","     8272.05","     8286.40","     8155.25","     8174.10","      221905876","        11229.76"
"26-Dec-2014","     8204.80","     8234.55","     8147.95","     8200.70","       75528707","         2995.12"
"29-Dec-2014","     8214.70","     8279.15","     8214.70","     8246.30","       82086035","         3340.07"
"30-Dec-2014","     8260.30","     8268.25","     8220.55","     8248.25","       77695770","         3460.46"
"31-Dec-2014","     8243.90","     8291.00","     8243.75","     8282.70","       84532600","         4221.32"
"01-Jan-2015","     8272.80","     8294.70","     8248.75","     8284.00","       56560411","         2321.88"
"02-Jan-2015","     8288.70","     8410.60","     8288.70","     8395.45","      101887024","         4715.72"
"05-Jan-2015","     8407.95","     8445.60","     8363.90","     8378.40","      118160545","         5525.52"
"06-Jan-2015","     8325.30","     8327.85","     8111.35","     8127.35","      172799618","         8089.19"
"07-Jan-2015","     8118.65","     8151.20","     8065.45","     8102.10","      164075424","         7464.33"
"08-Jan-2015","     8191.40","     8243.50","     8167.30","     8234.60","      143802802","         8147.40"
"09-Jan-2015","     8285.45","     8303.30","     8190.80","     8284.50","      152612528","         9305.95"
"12-Jan-2015","     8291.35","     8332.60","     8245.60","     8323.00","      103153908","         5437.76"
"13-Jan-2015","     8346.15","     8356.65","     8267.90","     8299.40","      129561892","         6499.20"
"14-Jan-2015","     8307.25","     8326.45","     8236.65","     8277.55","      150621631","         7020.91"
"15-Jan-2015","     8424.50","     8527.10","     8380.55","     8494.15","      232138802","        10725.62"
"16-Jan-2015","     8504.05","     8530.75","     8452.25","     8513.80","      181365905","         8690.54"
"19-Jan-2015","     8550.05","     8570.95","     8531.50","     8550.70","      129346422","         6292.59"
"20-Jan-2015","     8575.10","     8707.90","     8574.50","     8695.60","      158713840","         7838.19"
"21-Jan-2015","     8719.65","     8741.85","     8689.60","     8729.50","      191651012","         9735.99"
"22-Jan-2015","     8745.85","     8774.15","     8727.00","     8761.40","      180912372","         9025.95"
"23-Jan-2015","     8827.95","     8866.40","     8795.40","     8835.60","      197124706","         9716.57"
"27-Jan-2015","     8871.35","     8925.05","     8825.45","     8910.50","      192010521","         9988.36"
"28-Jan-2015","     8902.75","     8985.05","     8874.05","     8914.30","      190805926","        10313.46"
"29-Jan-2015","     8901.50","     8966.65","     8861.25","     8952.35","      264245843","        13427.54"
"30-Jan-2015","     8996.60","     8996.60","     8775.10","     8808.90","      275587957","        12385.18"
"02-Feb-2015","     8802.50","     8840.80","     8751.10","     8797.40","      216556534","        10430.34"
"03-Feb-2015","     8823.15","     8837.30","     8726.65","     8756.55","      208672175","         9888.10"
"04-Feb-2015","     8789.15","     8792.85","     8704.40","     8723.70","      201252375","         8707.82"
"05-Feb-2015","     8733.10","     8838.45","     8683.65","     8711.70","      179008853","         9126.10"
"06-Feb-2015","     8696.85","     8726.20","     8645.55","     8661.05","      176554075","         7912.10"
"09-Feb-2015","     8584.40","     8605.55","     8516.35","     8526.35","      151329604","         6863.17"
"10-Feb-2015","     8478.10","     8646.25","     8470.50","     8565.55","      202294693","         9965.76"
"11-Feb-2015","     8603.30","     8651.95","     8593.65","     8627.40","      166560867","         7602.46"
"12-Feb-2015","     8676.95","     8732.55","     8599.25","     8711.55","      163681352","         7669.87"
"13-Feb-2015","     8741.50","     8822.10","     8729.65","     8805.50","      228807812","        10248.41"
"16-Feb-2015","     8831.40","     8870.10","     8793.40","     8809.35","      140637331","         7047.32"
"18-Feb-2015","     8811.55","     8894.30","     8808.90","     8869.10","      152152801","        10153.74"
"19-Feb-2015","     8883.05","     8913.45","     8794.45","     8895.30","      219867400","         9794.26"
"20-Feb-2015","     8895.50","     8899.95","     8816.30","     8833.60","      203714864","         8193.56"
"23-Feb-2015","     8856.85","     8869.00","     8736.10","     8754.95","      143932325","         7171.05"
"24-Feb-2015","     8772.90","     8800.50","     8726.75","     8762.10","      154368611","         7413.31"
"25-Feb-2015","     8801.90","     8840.65","     8751.40","     8767.25","      139406599","         6986.78"
"26-Feb-2015","     8779.00","     8786.05","     8669.45","     8683.85","      224185492","        10531.16"
"27-Feb-2015","     8729.50","     8856.95","     8717.45","     8844.60","      257226273","        11924.49"
"28-Feb-2015","     8913.05","     8941.10","     8751.35","     8901.85","      246453954","        10064.41"
"02-Mar-2015","     8953.85","     8972.35","     8885.45","     8956.75","      224772586","        11525.50"
"03-Mar-2015","     8962.85","     9008.40","     8925.55","     8996.25","      183251960","         9033.61"
"04-Mar-2015","     9109.15","     9119.20","     8893.95","     8922.65","      256060375","        12130.98"
"05-Mar-2015","     8929.40","     8957.55","     8849.35","     8937.75","      165081476","         8250.55"
"09-Mar-2015","     8891.15","     8891.30","     8740.45","     8756.75","      160332840","         8132.43"
"10-Mar-2015","     8769.75","     8778.00","     8677.35","     8712.05","      168916337","         8402.33"
"11-Mar-2015","     8728.75","     8755.60","     8682.35","     8699.95","      178053293","         8259.67"
"12-Mar-2015","     8740.65","     8787.20","     8732.90","     8776.00","      179337979","         8184.46"
"13-Mar-2015","     8844.05","     8849.75","     8631.75","     8647.75","      184665971","         8121.26"
"16-Mar-2015","     8656.75","     8663.55","     8612.00","     8633.15","      168438040","         7559.94"
"17-Mar-2015","     8689.10","     8742.55","     8630.80","     8723.30","      182504639","         8086.26"
"18-Mar-2015","     8742.90","     8747.25","     8664.00","     8685.90","      161153533","         8227.50"
"19-Mar-2015","     8749.45","     8788.20","     8614.65","     8634.65","      168628424","         8460.35"
"20-Mar-2015","     8627.90","     8627.90","     8553.00","     8570.90","      179982752","         8484.23"
"23-Mar-2015","     8591.55","     8608.35","     8540.55","     8550.90","      155425780","         6195.45"
"24-Mar-2015","     8537.05","     8627.75","     8535.85","     8542.95","      161465466","         7913.26"
"25-Mar-2015","     8568.90","     8573.75","     8516.55","     8530.80","      165952155","         8200.05"
"26-Mar-2015","     8474.95","     8499.45","     8325.35","     8342.15","      288758332","        13667.31"
"27-Mar-2015","     8396.00","     8413.20","     8269.15","     8341.40","      198979321","         9528.86"
"30-Mar-2015","     8390.95","     8504.55","     8380.75","     8492.30","      142061290","         6713.20"
"31-Mar-2015","     8527.60","     8550.45","     8454.15","     8491.00","      177059509","         8108.36"
"01-Apr-2015","     8483.70","     8603.40","     8464.75","     8586.25","      136312446","         6863.03"
"06-Apr-2015","     8615.80","     8667.55","     8573.75","     8659.90","      150877855","         7633.00"
"07-Apr-2015","     8684.45","     8693.60","     8586.85","     8660.30","      141765381","         7287.01"
"08-Apr-2015","     8698.95","     8730.50","     8679.80","     8714.40","      149617725","         7889.65"
"09-Apr-2015","     8756.20","     8785.50","     8682.45","     8778.30","      158192905","         8391.19"
"10-Apr-2015","     8774.35","     8787.40","     8733.60","     8780.35","      141464357","         7119.96"
"13-Apr-2015","     8801.75","     8841.65","     8762.10","     8834.00","      122833397","         6242.71"
